_id,email,password,name,contactNo,createdAt,modifiedAt,isAdmin,progress
660cd81fe10537e70a816948,mdoohan0@newsvine.com,hG2=z/gLU/iM*`,Malinda,4738193,2023-10-21T00:12:49Z,2023-12-19T20:29:43Z,false,[]
660cd81fe10537e85f4fe178,smacgraith1@4shared.com,gR5?hC=Z,Sloane,1983891,2023-11-13T10:42:33Z,2023-11-21T22:10:03Z,true,"[{""lessonID"":{""$oid"":""660cd81fe10537e85f4fe173""},""isCompleted"":true},{""lessonID"":{""$oid"":""660cd81fe10537e85f4fe174""},""isCompleted"":true},{""lessonID"":{""$oid"":""660cd81fe10537e85f4fe175""},""isCompleted"":true},{""lessonID"":{""$oid"":""660cd81fe10537e85f4fe176""},""isCompleted"":true},{""lessonID"":{""$oid"":""660cd81fe10537e85f4fe177""},""isCompleted"":true}]"
660cd81fe10537e7916b9e9a,kbraunle2@rediff.com,jC4{FxKLqi.,Kiersten,9419442,2023-12-26T06:26:56Z,2023-12-04T07:27:23Z,true,"[{""lessonID"":{""$oid"":""660cd81fe10537e7916b9e97""},""isCompleted"":false},{""lessonID"":{""$oid"":""660cd81fe10537e7916b9e98""},""isCompleted"":true},{""lessonID"":{""$oid"":""660cd81fe10537e7916b9e99""},""isCompleted"":true}]"
660cd81fe10537e8c57ab0aa,sbolduc3@hc360.com,pW5~uL)},Sheree,9548528,2023-12-09T03:15:13Z,2023-12-03T18:30:07Z,true,"[{""lessonID"":{""$oid"":""660cd81fe10537e8c57ab0a5""},""isCompleted"":false},{""lessonID"":{""$oid"":""660cd81fe10537e8c57ab0a6""},""isCompleted"":false},{""lessonID"":{""$oid"":""660cd81fe10537e8c57ab0a7""},""isCompleted"":true},{""lessonID"":{""$oid"":""660cd81fe10537e8c57ab0a8""},""isCompleted"":false},{""lessonID"":{""$oid"":""660cd81fe10537e8c57ab0a9""},""isCompleted"":true}]"
660cd81fe10537e83cb67136,tswinburne4@drupal.org,jG6+S<zt!kG,Torey,7794666,2023-12-03T06:44:38Z,2023-10-18T10:21:47Z,true,"[{""lessonID"":{""$oid"":""660cd81fe10537e83cb67132""},""isCompleted"":true},{""lessonID"":{""$oid"":""660cd81fe10537e83cb67133""},""isCompleted"":false},{""lessonID"":{""$oid"":""660cd81fe10537e83cb67134""},""isCompleted"":false},{""lessonID"":{""$oid"":""660cd81fe10537e83cb67135""},""isCompleted"":false}]"
660cd81fe10537e83e6ca1d5,cbartosiak5@flavors.me,uG4?rvBKz=`wT}i,Candida,2177635,2023-11-16T22:15:06Z,2023-11-26T19:02:54Z,true,[]
660cd81fe10537e8928bbc50,cmcdunlevy6@edublogs.org,"qZ4,""dV)T%oji",Corenda,4093836,2023-11-22T12:29:08Z,2023-11-17T04:04:25Z,true,"[{""lessonID"":{""$oid"":""660cd81fe10537e8928bbc4b""},""isCompleted"":false},{""lessonID"":{""$oid"":""660cd81fe10537e8928bbc4c""},""isCompleted"":false},{""lessonID"":{""$oid"":""660cd81fe10537e8928bbc4d""},""isCompleted"":true},{""lessonID"":{""$oid"":""660cd81fe10537e8928bbc4e""},""isCompleted"":false},{""lessonID"":{""$oid"":""660cd81fe10537e8928bbc4f""},""isCompleted"":false}]"
660cd81fe10537e7c5210095,bphilipet7@123-reg.co.uk,qI3>G0HO~0,Bonnibelle,2587771,2023-11-15T00:02:26Z,2023-11-14T06:57:07Z,false,"[{""lessonID"":{""$oid"":""660cd81fe10537e7c5210092""},""isCompleted"":false},{""lessonID"":{""$oid"":""660cd81fe10537e7c5210093""},""isCompleted"":true},{""lessonID"":{""$oid"":""660cd81fe10537e7c5210094""},""isCompleted"":false}]"
660cd81fe10537e71b41a74f,jleban8@devhub.com,"sD7=uc`|x)Oy""7eC",Jere,8769626,2023-10-17T00:35:47Z,2023-12-10T22:05:57Z,true,"[{""lessonID"":{""$oid"":""660cd81fe10537e71b41a74c""},""isCompleted"":false},{""lessonID"":{""$oid"":""660cd81fe10537e71b41a74d""},""isCompleted"":true},{""lessonID"":{""$oid"":""660cd81fe10537e71b41a74e""},""isCompleted"":false}]"
660cd81fe10537e8a3bcee51,brouf9@slate.com,wL4\}VkVt7/c(RP,Beulah,1133118,2023-11-08T08:39:15Z,2023-10-15T23:26:17Z,true,"[{""lessonID"":{""$oid"":""660cd81fe10537e8a3bcee4e""},""isCompleted"":false},{""lessonID"":{""$oid"":""660cd81fe10537e8a3bcee4f""},""isCompleted"":true},{""lessonID"":{""$oid"":""660cd81fe10537e8a3bcee50""},""isCompleted"":false}]"
